kode_provinsi,nama_provinsi,tahun,indeks_pelayanan_publik,indeks_pembangunan_literasi
11,ACEH,2021,3.63,15.12
11,ACEH,2022,4.01,58.46
11,ACEH,2023,4.34,66.23
11,ACEH,2024,4.45,72.42
51,BALI,2021,3.34,11.91
51,BALI,2022,4.0,70.88
51,BALI,2023,4.21,62.7
51,BALI,2024,4.41,66.05
36,BANTEN,2021,3.66,9.04
36,BANTEN,2022,3.99,71.03
36,BANTEN,2023,3.74,52.5
36,BANTEN,2024,3.73,61.88
17,BENGKULU,2021,4.37,15.86
17,BENGKULU,2022,4.4,66.32
17,BENGKULU,2023,3.7,59.84
17,BENGKULU,2024,3.94,65.96
34,DI YOGYAKARTA,2021,4.58,21.85
34,DI YOGYAKARTA,2022,4.61,83.63
34,DI YOGYAKARTA,2023,4.57,85.09
34,DI YOGYAKARTA,2024,4.62,86.39
31,DKI JAKARTA,2021,4.38,19.31
31,DKI JAKARTA,2022,4.4,80.87
31,DKI JAKARTA,2023,4.03,70.99
31,DKI JAKARTA,2024,4.53,73.07
75,GORONTALO,2021,4.06,22.53
75,GORONTALO,2022,4.34,61.95
75,GORONTALO,2023,4.24,70.39
75,GORONTALO,2024,4.04,77.46
15,JAMBI,2021,4.02,14.03
15,JAMBI,2022,4.04,72.23
15,JAMBI,2023,3.28,62.84
15,JAMBI,2024,3.68,65.43
32,JAWA BARAT,2021,4.57,9.64
32,JAWA BARAT,2022,4.62,72.73
32,JAWA BARAT,2023,4.53,60.02
32,JAWA BARAT,2024,4.76,72.76
33,JAWA TENGAH,2021,4.48,11.33
33,JAWA TENGAH,2022,4.54,74.36
33,JAWA TENGAH,2023,4.11,64.4
33,JAWA TENGAH,2024,4.53,70.57
35,JAWA TIMUR,2021,4.34,14.78
35,JAWA TIMUR,2022,4.58,74.73
35,JAWA TIMUR,2023,4.36,75.18
35,JAWA TIMUR,2024,4.63,78.6
61,KALIMANTAN BARAT,2021,4.28,13.09
61,KALIMANTAN BARAT,2022,4.42,65.32
61,KALIMANTAN BARAT,2023,4.32,67.08
61,KALIMANTAN BARAT,2024,4.26,75.15
63,KALIMANTAN SELATAN,2021,3.96,58.13
63,KALIMANTAN SELATAN,2022,4.27,75.71
63,KALIMANTAN SELATAN,2023,4.03,71.29
63,KALIMANTAN SELATAN,2024,4.56,81.16
62,KALIMANTAN TENGAH,2021,3.01,13.82
62,KALIMANTAN TENGAH,2022,3.49,54.26
62,KALIMANTAN TENGAH,2023,2.11,66.68
62,KALIMANTAN TENGAH,2024,2.67,72.5
64,KALIMANTAN TIMUR,2021,3.9,17.74
64,KALIMANTAN TIMUR,2022,4.0,69.22
64,KALIMANTAN TIMUR,2023,4.0,68.77
64,KALIMANTAN TIMUR,2024,3.75,78.34
65,KALIMANTAN UTARA,2021,3.44,16.71
65,KALIMANTAN UTARA,2022,3.8,66.56
65,KALIMANTAN UTARA,2023,3.41,65.39
65,KALIMANTAN UTARA,2024,4.22,66.73
19,KEPULAUAN BANGKA BELITUNG,2021,4.42,18.57
19,KEPULAUAN BANGKA BELITUNG,2022,4.45,61.66
19,KEPULAUAN BANGKA BELITUNG,2023,3.5,77.5
19,KEPULAUAN BANGKA BELITUNG,2024,4.23,84.59
21,KEPULAUAN RIAU,2021,4.21,21.33
21,KEPULAUAN RIAU,2022,4.34,72.87
21,KEPULAUAN RIAU,2023,4.13,62.52
21,KEPULAUAN RIAU,2024,4.26,74.24
18,LAMPUNG,2021,3.76,10.72
18,LAMPUNG,2022,4.31,59.99
18,LAMPUNG,2023,4.05,59.25
18,LAMPUNG,2024,4.27,64.81
81,MALUKU,2021,3.86,35.75
81,MALUKU,2022,3.91,49.77
81,MALUKU,2023,1.77,63.97
81,MALUKU,2024,2.18,58.55
82,MALUKU UTARA,2021,4.16,14.27
82,MALUKU UTARA,2022,4.19,46.81
82,MALUKU UTARA,2023,2.92,57.0
82,MALUKU UTARA,2024,2.8,61.7
52,NUSA TENGGARA BARAT,2021,3.54,17.66
52,NUSA TENGGARA BARAT,2022,3.71,67.42
52,NUSA TENGGARA BARAT,2023,3.97,66.32
52,NUSA TENGGARA BARAT,2024,4.42,60.42
53,NUSA TENGGARA TIMUR,2021,2.81,11.8
53,NUSA TENGGARA TIMUR,2022,2.81,67.61
53,NUSA TENGGARA TIMUR,2023,3.6,60.53
53,NUSA TENGGARA TIMUR,2024,3.56,62.62
94,PAPUA,2021,3.24,5.87
94,PAPUA,2022,3.25,20.02
94,PAPUA,2023,1.11,47.57
91,PAPUA BARAT,2021,3.76,10.41
91,PAPUA BARAT,2022,3.92,37.58
91,PAPUA BARAT,2023,1.7,64.29
91,PAPUA BARAT,2024,3.32,65.86
14,RIAU,2021,3.68,20.67
14,RIAU,2022,3.71,70.98
14,RIAU,2023,4.04,66.88
14,RIAU,2024,4.12,69.24
76,SULAWESI BARAT,2021,3.43,17.64
76,SULAWESI BARAT,2022,3.49,41.36
76,SULAWESI BARAT,2023,3.37,62.73
