id,kode_provinsi,nama_provinsi,predikat,indeks_pelayanan_publik,satuan,tahun
1,11,ACEH,B,3.63,POIN,2021
2,12,SUMATERA UTARA,B,3.8,POIN,2021
3,13,SUMATERA BARAT,B,3.62,POIN,2021
4,14,RIAU,B,3.68,POIN,2021
5,15,JAMBI,A-,4.02,POIN,2021
6,16,SUMATERA SELATAN,A-,4.37,POIN,2021
7,17,BENGKULU,A-,4.37,POIN,2021
8,18,LAMPUNG,B,3.76,POIN,2021
9,19,KEPULAUAN BANGKA BELITUNG,A-,4.42,POIN,2021
10,21,KEPULAUAN RIAU,A-,4.21,POIN,2021
11,31,DKI JAKARTA,A-,4.38,POIN,2021
12,32,JAWA BARAT,A,4.57,POIN,2021
13,33,JAWA TENGAH,A-,4.48,POIN,2021
14,34,DI YOGYAKARTA,A,4.58,POIN,2021
15,35,JAWA TIMUR,A-,4.34,POIN,2021
16,36,BANTEN,B,3.66,POIN,2021
17,51,BALI,B-,3.34,POIN,2021
18,52,NUSA TENGGARA BARAT,B,3.54,POIN,2021
19,53,NUSA TENGGARA TIMUR,C,2.81,POIN,2021
20,61,KALIMANTAN BARAT,A-,4.28,POIN,2021
21,62,KALIMANTAN TENGAH,B-,3.01,POIN,2021
22,63,KALIMANTAN SELATAN,B,3.96,POIN,2021
23,64,KALIMANTAN TIMUR,B,3.9,POIN,2021
24,65,KALIMANTAN UTARA,B-,3.44,POIN,2021
25,71,SULAWESI UTARA,A-,4.07,POIN,2021
26,72,SULAWESI TENGAH,B-,3.41,POIN,2021
27,73,SULAWESI SELATAN,A-,4.1,POIN,2021
28,74,SULAWESI TENGGARA,B,3.86,POIN,2021
29,75,GORONTALO,A-,4.06,POIN,2021
30,76,SULAWESI BARAT,B-,3.43,POIN,2021
31,81,MALUKU,B,3.86,POIN,2021
32,82,MALUKU UTARA,A-,4.16,POIN,2021
33,91,PAPUA BARAT,B,3.76,POIN,2021
34,94,PAPUA,B-,3.24,POIN,2021
35,11,ACEH,A-,4.01,POIN,2022
36,12,SUMATERA UTARA,B,4.0,POIN,2022
37,13,SUMATERA BARAT,B,3.84,POIN,2022
38,14,RIAU,B,3.71,POIN,2022
39,15,JAMBI,A-,4.04,POIN,2022
40,16,SUMATERA SELATAN,A,4.53,POIN,2022
41,17,BENGKULU,A-,4.4,POIN,2022
42,18,LAMPUNG,A-,4.31,POIN,2022
43,19,KEPULAUAN BANGKA BELITUNG,A-,4.45,POIN,2022
44,21,KEPULAUAN RIAU,A-,4.34,POIN,2022
45,31,DKI JAKARTA,A-,4.4,POIN,2022
